Name	Staphylococcaceae	Enterobacteriaceae	Enterococcaceae	Bacillaceae	Moraxellaceae	Pseudomonadaceae	Actinomycetaceae	Morganellaceae	Streptococcaceae	Campylobacteraceae	Corynebacteriaceae	Burkholderiaceae	Aerococcaceae	Yersiniaceae	Flavobacteriaceae	Bacteroidaceae	Paenibacillaceae	Bacillales_unclassified	Pasteurellaceae	Eggerthellaceae	family	sra_abundance
SRR576634	8.05206	80.36877	11.57917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	80.37
SRR576637	7.82465	80.65761	11.51774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	80.66
SRR576638	8.36884	79.48632	12.14484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	79.49
SRR6118113	97.77072	2.22928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	97.77
SRR6217915	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR6765791	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765792	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765793	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765794	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765795	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765796	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765797	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765798	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765799	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765800	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765801	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765802	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6765803	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	100
SRR6903130	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR6938527	86.82825	13.17175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	86.83
SRR6983026	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR7292642	0	88.48315	0	0	0	0	0	11.51685	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	88.48
SRR7304262	2.97118	97.02882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	97.03
SRR7304368	64.76151	35.23849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	35.24
SRR7304379	24.87203	75.12797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	75.13
SRR7304383	11.83551	88.16449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	88.16
SRR7304390	19.77755	80.22245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	80.22
SRR7304409	9.38927	90.61073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	90.61
SRR7304456	4.99224	95.00776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	95.01
SRR7304460	22.07827	77.92173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	77.92
SRR7304475	6.77502	93.22498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	93.22
SRR7304501	2.45378	97.54622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	97.55
SRR7304506	3.08646	96.91354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	96.91
SRR7415099	0	94.46815	5.53185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	94.47
SRR7426964	0	47.97026	0	0	0	0	0	52.02974	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	47.97
SRR7500907	0.13108	99.86892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	99.87
SRR7500909	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR755296	97.943	2.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	2.06
SRR7748135	0	99.8883	0.1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	0
SRR7767232	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR7949740	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
SRR8095689	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	100
