Name	Staphylococcaceae	Enterobacteriaceae	Enterococcaceae	Bacillaceae	Moraxellaceae	Pseudomonadaceae	Actinomycetaceae	Morganellaceae	Streptococcaceae	Corynebacteriaceae	Flavobacteriaceae	Bacteroidaceae	Pasteurellaceae	Eggerthellaceae	sra_abundance	family	SRA_Agreement
SRR3545468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	Mismatch
SRR3545487	1	1	0	0	0	0	0	0	0	0	0	0	0	0	13.87	Staphylococcaceae	5-80%
SRR3545489	1	1	0	0	0	0	0	0	0	0	0	0	0	0	73.11	Staphylococcaceae	5-80%
SRR3545492	1	1	0	0	0	0	0	0	0	0	0	0	0	0	30.75	Staphylococcaceae	5-80%
SRR3545496	1	1	0	0	0	0	0	0	0	0	0	0	0	0	64.64	Staphylococcaceae	5-80%
SRR3545497	1	0	0	0	0	0	0	0	0	0	0	0	0	0	99.54	Staphylococcaceae	95-100%
SRR4788311	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR4897106	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR4897675	0	1	0	0	0	0	0	0	0	0	0	0	0	1	76.56	Enterobacteriaceae	5-80%
SRR4897699	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR4897780	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR497016	1	1	1	0	0	0	0	0	0	0	0	0	0	0	78.45	Enterobacteriaceae	5-80%
SRR497543	1	0	1	0	0	0	0	0	0	0	0	0	0	0	94.21	Staphylococcaceae	80-95%
SRR5034995	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR5035004	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR576621	1	1	1	0	0	0	0	0	0	0	0	0	0	0	79.84	Enterobacteriaceae	5-80%
SRR576623	1	1	1	0	0	0	0	0	0	0	0	0	0	0	79.42	Enterobacteriaceae	5-80%
SRR576625	1	1	1	0	0	0	0	0	0	0	0	0	0	0	79.98	Enterobacteriaceae	5-80%
SRR576627	1	1	1	0	0	0	0	0	0	0	0	0	0	0	79.45	Enterobacteriaceae	5-80%
SRR576629	1	1	1	0	0	0	0	0	0	0	0	0	0	0	80.94	Enterobacteriaceae	80-95%
SRR576630	1	1	1	0	0	0	0	0	0	0	0	0	0	0	79.64	Enterobacteriaceae	5-80%
SRR576632	1	1	1	0	0	0	0	0	0	0	0	0	0	0	79.75	Enterobacteriaceae	5-80%
SRR576634	1	1	1	0	0	0	0	0	0	0	0	0	0	0	80.37	Enterobacteriaceae	80-95%
SRR576637	1	1	1	0	0	0	0	0	0	0	0	0	0	0	80.66	Enterobacteriaceae	80-95%
SRR576638	1	1	1	0	0	0	0	0	0	0	0	0	0	0	79.49	Enterobacteriaceae	5-80%
SRR6118113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	97.77	Staphylococcaceae	95-100%
SRR6217915	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR6765791	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765792	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765793	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765794	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765795	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765796	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765797	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765798	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765799	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765800	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765801	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765802	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6765803	0	0	0	0	0	0	0	0	1	0	0	0	0	0	100	Streptococcaceae	95-100%
SRR6903130	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR6938527	1	1	0	0	0	0	0	0	0	0	0	0	0	0	86.83	Staphylococcaceae	80-95%
SRR6983026	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR7292642	0	1	0	0	0	0	0	1	0	0	0	0	0	0	88.48	Enterobacteriaceae	80-95%
SRR7304262	0	1	0	0	0	0	0	0	0	0	0	0	0	0	97.03	Enterobacteriaceae	95-100%
SRR7304368	1	1	0	0	0	0	0	0	0	0	0	0	0	0	35.24	Enterobacteriaceae	5-80%
SRR7304379	1	1	0	0	0	0	0	0	0	0	0	0	0	0	75.13	Enterobacteriaceae	5-80%
SRR7304383	1	1	0	0	0	0	0	0	0	0	0	0	0	0	88.16	Enterobacteriaceae	80-95%
SRR7304390	1	1	0	0	0	0	0	0	0	0	0	0	0	0	80.22	Enterobacteriaceae	80-95%
SRR7304409	1	1	0	0	0	0	0	0	0	0	0	0	0	0	90.61	Enterobacteriaceae	80-95%
SRR7304456	0	1	0	0	0	0	0	0	0	0	0	0	0	0	95.01	Enterobacteriaceae	95-100%
SRR7304460	1	1	0	0	0	0	0	0	0	0	0	0	0	0	77.92	Enterobacteriaceae	5-80%
SRR7304475	1	1	0	0	0	0	0	0	0	0	0	0	0	0	93.22	Enterobacteriaceae	80-95%
SRR7304501	0	1	0	0	0	0	0	0	0	0	0	0	0	0	97.55	Enterobacteriaceae	95-100%
SRR7304506	0	1	0	0	0	0	0	0	0	0	0	0	0	0	96.91	Enterobacteriaceae	95-100%
SRR7415099	0	1	1	0	0	0	0	0	0	0	0	0	0	0	94.47	Enterobacteriaceae	80-95%
SRR7426964	0	1	0	0	0	0	0	1	0	0	0	0	0	0	47.97	Enterobacteriaceae	5-80%
SRR7500907	0	1	0	0	0	0	0	0	0	0	0	0	0	0	99.87	Enterobacteriaceae	95-100%
SRR7500909	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR755296	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06	Enterobacteriaceae	Mismatch
SRR7748135	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	Mismatch
SRR7767232	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR7949740	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
SRR8095689	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	Enterobacteriaceae	95-100%
